2024-04-02 02:47:12,339 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Configure stats pid to 8986
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Loading settings from /Users/myk/.config/wandb/settings
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Loading settings from /Users/myk/PyPjcts/unet-wzmiaomiao-test-0401/wandb/settings
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train-wandb.py', 'program_abspath': '/Users/myk/PyPjcts/unet-wzmiaomiao-test-0401/train-wandb.py', 'program': '/Users/myk/PyPjcts/unet-wzmiaomiao-test-0401/train-wandb.py'}
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:_log_setup():527] Logging user logs to /Users/myk/PyPjcts/unet-wzmiaomiao-test-0401/wandb/run-20240402_024712-m5n6agiv/logs/debug.log
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:_log_setup():528] Logging internal logs to /Users/myk/PyPjcts/unet-wzmiaomiao-test-0401/wandb/run-20240402_024712-m5n6agiv/logs/debug-internal.log
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:init():567] calling init triggers
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'architecture': 'unet', 'dataset': 'DRIVE', 'epochs': 5}
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:init():617] starting backend
2024-04-02 02:47:12,340 INFO    MainThread:8986 [wandb_init.py:init():621] setting up manager
2024-04-02 02:47:12,342 INFO    MainThread:8986 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-02 02:47:12,344 INFO    MainThread:8986 [wandb_init.py:init():629] backend started and connected
2024-04-02 02:47:12,347 INFO    MainThread:8986 [wandb_init.py:init():721] updated telemetry
2024-04-02 02:47:12,374 INFO    MainThread:8986 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-04-02 02:47:13,226 INFO    MainThread:8986 [wandb_run.py:_on_init():2344] communicating current version
2024-04-02 02:47:13,539 INFO    MainThread:8986 [wandb_run.py:_on_init():2353] got version response 
2024-04-02 02:47:13,539 INFO    MainThread:8986 [wandb_init.py:init():805] starting run threads in backend
2024-04-02 02:47:15,275 INFO    MainThread:8986 [wandb_run.py:_console_start():2323] atexit reg
2024-04-02 02:47:15,275 INFO    MainThread:8986 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-04-02 02:47:15,275 INFO    MainThread:8986 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-04-02 02:47:15,275 INFO    MainThread:8986 [wandb_run.py:_redirect():2268] Redirects installed.
2024-04-02 02:47:15,276 INFO    MainThread:8986 [wandb_init.py:init():848] run started, returning control to user process
